start time;end time;elapsed utime;curr pitch;curr yaw;pwm pitch;pwm yaw
1780907626827782;1780907626827783;1;500;-500;-0.990000;-0.990000
1780907626838060;1780907626838061;1;500;-500;-0.990000;-0.990000
1780907626848282;1780907626848283;1;500;-500;-0.990000;-0.990000
1780907626858543;1780907626858544;1;500;-500;-0.990000;-0.990000
1780907626868730;1780907626868730;0;500;-500;-0.990000;-0.990000
1780907626878956;1780907626878957;1;500;-500;-0.990000;-0.990000
1780907626889194;1780907626889195;1;500;-500;-0.990000;-0.990000
1780907626899438;1780907626899439;1;500;-500;-0.990000;-0.990000
1780907626909689;1780907626909689;0;500;-500;-0.990000;-0.990000
1780907626919912;1780907626919912;0;500;-500;-0.990000;-0.990000
1780907626930143;1780907626930145;2;500;-500;-0.990000;-0.990000
1780907626940481;1780907626940482;1;500;-500;-0.990000;-0.990000
1780907626950715;1780907626950716;1;500;-500;-0.990000;-0.990000
1780907626960941;1780907626960943;2;500;-500;-0.990000;-0.990000
1780907626971085;1780907626971086;1;500;-500;-0.990000;-0.990000
1780907626981313;1780907626981314;1;500;-500;-0.990000;-0.990000
1780907626991509;1780907626991510;1;500;-500;-0.990000;-0.990000
1780907627001821;1780907627001822;1;500;-500;-0.990000;-0.990000
1780907627012045;1780907627012046;1;500;-500;-0.990000;-0.990000
1780907627022288;1780907627022289;1;500;-500;-0.990000;-0.990000
1780907627032523;1780907627032525;2;500;-500;-0.990000;-0.990000
1780907627042660;1780907627042660;0;500;-500;-0.990000;-0.990000
1780907627052873;1780907627052874;1;500;-500;-0.990000;-0.990000
1780907627063105;1780907627063106;1;500;-500;-0.990000;-0.990000
1780907627073334;1780907627073335;1;500;-500;-0.990000;-0.990000
1780907627083595;1780907627083596;1;500;-500;-0.990000;-0.990000
1780907627093767;1780907627093768;1;500;-500;-0.990000;-0.990000
1780907627103876;1780907627103876;0;500;-500;-0.990000;-0.990000
1780907627114098;1780907627114100;2;500;-500;-0.990000;-0.990000
1780907627124230;1780907627124231;1;500;-500;-0.990000;-0.990000
1780907627134577;1780907627134579;2;500;-500;-0.990000;-0.990000
1780907627144862;1780907627144864;2;500;-500;-0.990000;-0.990000
1780907627155104;1780907627155105;1;500;-500;-0.990000;-0.990000
1780907627165338;1780907627165340;2;500;-500;-0.990000;-0.990000
1780907627175558;1780907627175560;2;500;-500;-0.990000;-0.990000
1780907627185789;1780907627185790;1;500;-500;-0.990000;-0.990000
1780907627196004;1780907627196005;1;500;-500;-0.990000;-0.990000
1780907627206186;1780907627206187;1;500;-500;-0.990000;-0.990000
1780907627216505;1780907627216506;1;500;-500;-0.990000;-0.990000
1780907627226713;1780907627226714;1;500;-500;-0.990000;-0.990000
1780907627236935;1780907627236937;2;500;-500;-0.990000;-0.990000
1780907627247085;1780907627247086;1;500;-500;-0.990000;-0.990000
1780907627257612;1780907627257613;1;500;-500;-0.990000;-0.990000
1780907627267920;1780907627267921;1;500;-500;-0.990000;-0.990000
1780907627278125;1780907627278126;1;500;-500;-0.990000;-0.990000
1780907627288341;1780907627288343;2;500;-500;-0.990000;-0.990000
1780907627298594;1780907627298596;2;500;-500;-0.990000;-0.990000
1780907627308960;1780907627308964;4;500;-500;-0.990000;-0.990000
1780907627319239;1780907627319240;1;500;-500;-0.990000;-0.990000
1780907627329614;1780907627329615;1;500;-500;-0.990000;-0.990000
1780907627339725;1780907627339726;1;500;-500;-0.990000;-0.990000
1780907627349979;1780907627349981;2;500;-500;-0.990000;-0.990000
1780907627360197;1780907627360198;1;500;-500;-0.990000;-0.990000
1780907627370402;1780907627370404;2;500;-500;-0.990000;-0.990000
1780907627380690;1780907627380692;2;500;-500;-0.990000;-0.990000
1780907627390909;1780907627390911;2;500;-500;-0.990000;-0.990000
1780907627401301;1780907627401303;2;500;-500;-0.990000;-0.990000
1780907627411543;1780907627411544;1;500;-500;-0.990000;-0.990000
1780907627421845;1780907627421846;1;500;-500;-0.990000;-0.990000
1780907627432065;1780907627432067;2;500;-500;-0.990000;-0.990000
1780907627442300;1780907627442301;1;500;-500;-0.990000;-0.990000
1780907627452552;1780907627452554;2;500;-500;-0.990000;-0.990000
1780907627462884;1780907627462885;1;500;-500;-0.990000;-0.990000
1780907627473067;1780907627473068;1;500;-500;-0.990000;-0.990000
1780907627483287;1780907627483289;2;500;-500;-0.990000;-0.990000
1780907627493481;1780907627493483;2;500;-500;-0.990000;-0.990000
1780907627503756;1780907627503758;2;500;-500;-0.990000;-0.990000
1780907627513955;1780907627513956;1;500;-500;-0.990000;-0.990000
1780907627524320;1780907627524326;6;500;-500;-0.990000;-0.990000
1780907627534578;1780907627534579;1;500;-500;-0.990000;-0.990000
1780907627544900;1780907627544901;1;500;-500;-0.990000;-0.990000
1780907627555100;1780907627555101;1;500;-500;-0.990000;-0.990000
1780907627565348;1780907627565349;1;500;-500;-0.990000;-0.990000
1780907627575555;1780907627575556;1;500;-500;-0.990000;-0.990000
1780907627585753;1780907627585753;0;500;-500;-0.990000;-0.990000
1780907627596002;1780907627596003;1;500;-500;-0.990000;-0.990000
1780907627606253;1780907627606254;1;500;-500;-0.990000;-0.990000
1780907627616471;1780907627616472;1;500;-500;-0.990000;-0.990000
1780907627626713;1780907627626714;1;500;-500;-0.990000;-0.990000
1780907627636925;1780907627636926;1;500;-500;-0.990000;-0.990000
1780907627647183;1780907627647185;2;500;-500;-0.990000;-0.990000
1780907627657407;1780907627657408;1;500;-500;-0.990000;-0.990000
1780907627667769;1780907627667771;2;500;-500;-0.990000;-0.990000
1780907627678013;1780907627678015;2;500;-500;-0.990000;-0.990000
1780907627688200;1780907627688201;1;500;-500;-0.990000;-0.990000
1780907627698473;1780907627698475;2;500;-500;-0.990000;-0.990000
1780907627708633;1780907627708634;1;500;-500;-0.990000;-0.990000
1780907627718822;1780907627718823;1;500;-500;-0.990000;-0.990000
1780907627729081;1780907627729083;2;500;-500;-0.990000;-0.990000
1780907627739320;1780907627739321;1;500;-500;-0.990000;-0.990000
1780907627749545;1780907627749546;1;500;-500;-0.990000;-0.990000
1780907627759775;1780907627759777;2;500;-500;-0.990000;-0.990000
1780907627769975;1780907627769977;2;500;-500;-0.990000;-0.990000
1780907627780186;1780907627780187;1;500;-500;-0.990000;-0.990000
1780907627790348;1780907627790350;2;500;-500;-0.990000;-0.990000
1780907627800614;1780907627800616;2;500;-500;-0.990000;-0.990000
1780907627810833;1780907627810834;1;500;-500;-0.990000;-0.990000
1780907627821138;1780907627821138;0;500;-500;-0.990000;-0.990000
1780907627831316;1780907627831318;2;500;-500;-0.990000;-0.990000
1780907627841618;1780907627841619;1;500;-500;-0.990000;-0.990000
1780907627851849;1780907627851850;1;500;-500;-0.990000;-0.990000
1780907627862130;1780907627862131;1;500;-500;-0.990000;-0.990000
1780907627872360;1780907627872361;1;500;-500;-0.990000;-0.990000
1780907627882634;1780907627882636;2;500;-500;-0.990000;-0.990000
